model,benchmarks_used,observed_mean_score,bootstrap_mean_score,bootstrap_std,ci05,ci25,ci50,ci75,ci95
gpt-5.5,21,0.5549916255624765,0.5558935509230172,0.06848327469354731,0.4422696591057208,0.5103130741644815,0.5579926329169003,0.6032632790250226,0.6654641679707013
gpt-4.1,21,0.5180322935461433,0.5180907484287968,0.07273518466400886,0.40069342050573686,0.46752289394812363,0.518179274628821,0.5678293062062786,0.6392388693616227
gpt-5.1,21,0.5079051965293196,0.5092517425062829,0.07205437434739434,0.39430851849377635,0.45884157382403784,0.5080548102456565,0.5564721104540515,0.6310363420505077
gpt-5.4,21,0.5049465864046229,0.5046771355516556,0.0671269458693278,0.39651615328262635,0.458474310636843,0.503268993446935,0.5502213763736984,0.6174033295172838
gpt-5,21,0.49885882007000515,0.4983669945038953,0.07637557641461194,0.37284827379494234,0.4466416557770761,0.498028555506408,0.5483204454626407,0.6275002331014938
gpt-5.4-mini,21,0.49564817659153043,0.4966270426701616,0.0712308419834988,0.3799135850228112,0.448688450849999,0.49637504775307784,0.5445070867528478,0.6148288344514135
gpt-4o,21,0.4949006393443476,0.4943102728589085,0.07159219728193034,0.377138083823846,0.44496100835697394,0.49441072469702774,0.5438658328156677,0.6113239288695382
gpt-5.2,21,0.47974890346398974,0.47984324046743393,0.07017555996572328,0.36511287379710344,0.4324087883392115,0.4788490615258915,0.5274964498038577,0.5972089161635092
qwen2.5-vl-3b-instruct,21,0.47785984417200805,0.4787371746275189,0.07143223809885335,0.3626116689824235,0.4288246622648586,0.4779638156089147,0.526564672264234,0.598901009756629
llava-1.5-7b-hf,21,0.46663139539688975,0.4667775771142011,0.07834722560271022,0.34006416254826133,0.41273107465461417,0.46659873947413305,0.5210487586653612,0.5938366137581563
gpt-5.3-chat-latest,21,0.4485209974300834,0.4483583388071178,0.07103204616154758,0.33254157472320073,0.4003147725656251,0.44751308223745956,0.49567887208436934,0.5671117295852544
gpt-5.4-nano,21,0.3706477263259284,0.37156547523493955,0.06888905182274432,0.2597664210624486,0.3252176418366063,0.36948428681367496,0.41672209071570343,0.4892975873933779
paligemma-3b-mix-224,21,0.2859624015303635,0.2858121579165201,0.062192265815633176,0.18769156213969862,0.24190857826966067,0.2833050410873931,0.3280599490881307,0.3902170469104657
llava-gemma-2b,21,0.27899421941365965,0.278687793636542,0.060137650486208956,0.1822503718229063,0.23629492556115403,0.2769836141227062,0.31915181319362385,0.3807013895610854
