model,family,num_benchmarks,mean_score,median_score,mean_rank,mean_normalized_score
qwen25-vl,captioning,4,0.33763651710431025,0.35908244773349396,1.25,0.9916004545473325
small-llava,captioning,4,0.2631067486959068,0.2755706595062811,1.75,0.6927472849047442
gemma,captioning,4,0.026302608034408207,0.018139864048500154,3.0,0.0
gemma,qa,3,0.6,0.7,1.3333333333333333,0.8148148148148149
qwen25-vl,qa,3,0.7000000000000001,0.6,1.6666666666666667,0.5
small-llava,qa,3,0.3666666666666667,0.5,2.6666666666666665,0.0
qwen25-vl,labeling,11,0.6454545454545454,0.7,1.1818181818181819,0.8818181818181817
gemma,labeling,11,0.3727272727272727,0.3,2.272727272727273,0.38484848484848483
small-llava,labeling,11,0.33636363636363636,0.3,2.1818181818181817,0.36363636363636365
qwen25-vl,detection,3,0.11595071595071595,0.04785214785214785,1.0,1.0
small-llava,detection,3,0.002150537634408602,0.0,1.6666666666666667,0.34050179211469533
gemma,detection,3,0.0,0.0,2.0,0.3333333333333333
