model_a,model_b,benchmarks_compared,wins_a,wins_b,ties,win_rate_a,mean_delta_a_minus_b,median_delta_a_minus_b
claude-sonnet-4-5,gemini-3.5-flash,21,16,2,3,0.8333333333333334,0.21414302781251887,0.1665691958712348
claude-sonnet-4-5,gpt-4.1,21,11,7,3,0.5952380952380952,-0.035662580493729695,0.0030026987132503575
claude-sonnet-4-5,gpt-4o,21,3,17,1,0.16666666666666666,-0.09642493769642145,-0.057575757575757586
claude-sonnet-4-5,gpt-5,21,13,6,2,0.6666666666666666,-0.0035197233508725517,0.05651899977321997
gemini-3.5-flash,claude-sonnet-4-5,21,2,16,3,0.16666666666666666,-0.21414302781251887,-0.1665691958712348
gemini-3.5-flash,gpt-4.1,21,6,10,5,0.40476190476190477,-0.24980560830624862,0.0
gemini-3.5-flash,gpt-4o,21,1,17,3,0.11904761904761904,-0.3105679655089403,-0.2193152256953522
gemini-3.5-flash,gpt-5,21,6,6,9,0.5,-0.21766275116339148,0.0
gpt-4.1,claude-sonnet-4-5,21,7,11,3,0.40476190476190477,0.035662580493729695,-0.0030026987132503575
gpt-4.1,gemini-3.5-flash,21,10,6,5,0.5952380952380952,0.24980560830624862,0.0
gpt-4.1,gpt-4o,21,7,12,2,0.38095238095238093,-0.06076235720269175,-0.05
gpt-4.1,gpt-5,21,5,0,16,0.6190476190476191,0.03214285714285714,0.0
gpt-4o,claude-sonnet-4-5,21,17,3,1,0.8333333333333334,0.09642493769642145,0.057575757575757586
gpt-4o,gemini-3.5-flash,21,17,1,3,0.8809523809523809,0.3105679655089403,0.2193152256953522
gpt-4o,gpt-4.1,21,12,7,2,0.6190476190476191,0.06076235720269175,0.05
gpt-4o,gpt-5,21,13,4,4,0.7142857142857143,0.0929052143455489,0.050000000000000044
gpt-5,claude-sonnet-4-5,21,6,13,2,0.3333333333333333,0.0035197233508725517,-0.05651899977321997
gpt-5,gemini-3.5-flash,21,6,6,9,0.5,0.21766275116339148,0.0
gpt-5,gpt-4.1,21,0,5,16,0.38095238095238093,-0.03214285714285714,0.0
gpt-5,gpt-4o,21,4,13,4,0.2857142857142857,-0.0929052143455489,-0.050000000000000044
