model_a,model_b,benchmarks_compared,wins_a,wins_b,ties,win_rate_a,mean_delta_a_minus_b,median_delta_a_minus_b
claude-sonnet-4-5,gemini-3.5-flash,44,6,36,2,0.1590909090909091,-0.16589026147718616,-0.10000000000000006
claude-sonnet-4-5,gpt-4.1,44,6,30,8,0.22727272727272727,-0.13962396579700384,-0.09999999999999999
claude-sonnet-4-5,gpt-4o,44,10,30,4,0.2727272727272727,-0.08937476917751573,-0.053194250822653
claude-sonnet-4-5,gpt-5,44,9,28,7,0.2840909090909091,-0.09942035108038164,-0.050410806137559855
gemini-3.5-flash,claude-sonnet-4-5,44,36,6,2,0.8409090909090909,0.16589026147718616,0.10000000000000006
gemini-3.5-flash,gpt-4.1,44,24,11,9,0.6477272727272727,0.02626629568018232,0.009428637660285191
gemini-3.5-flash,gpt-4o,44,26,11,7,0.6704545454545454,0.0765154922996704,0.04033061566166336
gemini-3.5-flash,gpt-5,44,26,8,10,0.7045454545454546,0.0664699103968045,0.04999999999999993
gpt-4.1,claude-sonnet-4-5,44,30,6,8,0.7727272727272727,0.13962396579700384,0.09999999999999999
gpt-4.1,gemini-3.5-flash,44,11,24,9,0.3522727272727273,-0.02626629568018232,-0.009428637660285191
gpt-4.1,gpt-4o,44,23,12,9,0.625,0.050249196619488096,0.0015436746541567042
gpt-4.1,gpt-5,44,20,10,14,0.6136363636363636,0.04020361471662218,0.0
gpt-4o,claude-sonnet-4-5,44,30,10,4,0.7272727272727273,0.08937476917751573,0.053194250822653
gpt-4o,gemini-3.5-flash,44,11,26,7,0.32954545454545453,-0.0765154922996704,-0.04033061566166336
gpt-4o,gpt-4.1,44,12,23,9,0.375,-0.050249196619488096,-0.0015436746541567042
gpt-4o,gpt-5,44,18,16,10,0.5227272727272727,-0.010045581902865914,0.0
gpt-5,claude-sonnet-4-5,44,28,9,7,0.7159090909090909,0.09942035108038164,0.050410806137559855
gpt-5,gemini-3.5-flash,44,8,26,10,0.29545454545454547,-0.0664699103968045,-0.04999999999999993
gpt-5,gpt-4.1,44,10,20,14,0.38636363636363635,-0.04020361471662218,0.0
gpt-5,gpt-4o,44,16,18,10,0.4772727272727273,0.010045581902865914,0.0
