model,family,num_benchmarks,mean_score,median_score,mean_rank,mean_normalized_score
gpt-4o,captioning,10,0.16510095012565265,0.15443504695802127,1.1,0.9
claude-sonnet-4-5,captioning,10,0.1163661567207434,0.11254074570298561,1.8,0.2
gpt-4o,qa,6,0.7999999999999999,0.8500000000000001,1.0,1.0
claude-sonnet-4-5,qa,6,0.5083333333333333,0.575,2.0,0.0
claude-sonnet-4-5,labeling,7,0.43571428571428567,0.45,1.4285714285714286,0.5714285714285714
gpt-4o,labeling,7,0.39999999999999997,0.3,1.4285714285714286,0.5714285714285714
gpt-4o,detection,6,0.10000000000000002,0.025,1.3333333333333333,0.6666666666666666
claude-sonnet-4-5,detection,6,0.13540404040404042,0.11287878787878788,1.5,0.5
gpt-4o,image_modification_vqa,4,0.775,0.825,1.25,0.75
claude-sonnet-4-5,image_modification_vqa,4,0.7125,0.725,1.5,0.5
claude-sonnet-4-5,prompt_reconstruction,3,0.9666666666666667,1.0,1.0,1.0
gpt-4o,prompt_reconstruction,3,0.8333333333333334,0.85,2.0,0.0
