model_a,model_b,benchmarks_compared,wins_a,wins_b,ties,win_rate_a,mean_delta_a_minus_b,median_delta_a_minus_b
gemma,gpt-4.1,21,2,18,1,0.11904761904761904,-0.2320698920157798,-0.2
gemma,llava-7b,21,3,12,6,0.2857142857142857,-0.1806689938665263,-0.09999999999999998
gemma,qwen25-vl,21,4,15,2,0.23809523809523808,-0.19189744264164468,-0.1
gemma,small-llava,21,9,9,3,0.5,0.006968182116703815,0.0
gpt-4.1,gemma,21,18,2,1,0.8809523809523809,0.2320698920157798,0.2
gpt-4.1,llava-7b,21,6,7,8,0.47619047619047616,0.051400898149253506,0.0
gpt-4.1,qwen25-vl,21,7,8,6,0.47619047619047616,0.04017244937413515,0.0
gpt-4.1,small-llava,21,13,6,2,0.6666666666666666,0.23903807413248362,0.11428571428571428
llava-7b,gemma,21,12,3,6,0.7142857142857143,0.1806689938665263,0.09999999999999998
llava-7b,gpt-4.1,21,7,6,8,0.5238095238095238,-0.051400898149253506,0.0
llava-7b,qwen25-vl,21,5,11,5,0.35714285714285715,-0.011228448775118346,-0.0016783546006883254
llava-7b,small-llava,21,11,4,6,0.6666666666666666,0.18763717598323013,0.023438910564931692
qwen25-vl,gemma,21,15,4,2,0.7619047619047619,0.19189744264164468,0.1
qwen25-vl,gpt-4.1,21,8,7,6,0.5238095238095238,-0.04017244937413515,0.0
qwen25-vl,llava-7b,21,11,5,5,0.6428571428571429,0.011228448775118346,0.0016783546006883254
qwen25-vl,small-llava,21,15,4,2,0.7619047619047619,0.19886562475834846,0.09999999999999998
small-llava,gemma,21,9,9,3,0.5,-0.006968182116703815,0.0
small-llava,gpt-4.1,21,6,13,2,0.3333333333333333,-0.23903807413248362,-0.11428571428571428
small-llava,llava-7b,21,4,11,6,0.3333333333333333,-0.18763717598323013,-0.023438910564931692
small-llava,qwen25-vl,21,4,15,2,0.23809523809523808,-0.19886562475834846,-0.09999999999999998
