model,family,num_benchmarks,mean_score,median_score,mean_rank,mean_normalized_score
gpt-4.1,qa,6,0.8666666666666667,0.8999999999999999,1.1666666666666667,0.9901960784313726
gpt-5,qa,6,0.85,0.8999999999999999,1.3333333333333333,0.9624183006535948
gpt-4o,qa,6,0.7999999999999999,0.8500000000000001,2.3333333333333335,0.905546955624355
claude-sonnet-4-5,qa,6,0.5083333333333333,0.575,4.0,0.5426212590299277
gemini-3.5-flash,qa,6,0.03333333333333333,0.0,4.833333333333333,0.0
claude-sonnet-4-5,detection,6,0.13540404040404042,0.11287878787878788,1.6666666666666667,0.6702922077922078
gpt-4.1,detection,6,0.09583333333333334,0.12083333333333332,1.6666666666666667,0.6498015873015873
gpt-4o,detection,6,0.10000000000000002,0.025,1.8333333333333333,0.6041666666666666
gemini-3.5-flash,detection,6,0.0,0.0,2.8333333333333335,0.16666666666666666
gpt-5,detection,6,0.0,0.0,2.8333333333333335,0.16666666666666666
