model_a,model_b,benchmarks_compared,wins_a,wins_b,ties,win_rate_a,mean_delta_a_minus_b,median_delta_a_minus_b
claude-sonnet-4-5,gemini-3.5-flash,12,9,0,3,0.875,0.3052020202020202,0.29333333333333333
claude-sonnet-4-5,gpt-4.1,12,2,7,3,0.2916666666666667,-0.1593813131313131,-0.1287878787878788
claude-sonnet-4-5,gpt-4o,12,2,9,1,0.20833333333333334,-0.12813131313131315,-0.09000000000000005
claude-sonnet-4-5,gpt-5,12,4,6,2,0.4166666666666667,-0.10313131313131312,-0.07500000000000001
gemini-3.5-flash,claude-sonnet-4-5,12,0,9,3,0.125,-0.3052020202020202,-0.29333333333333333
gemini-3.5-flash,gpt-4.1,12,0,10,2,0.08333333333333333,-0.4645833333333334,-0.4
gemini-3.5-flash,gpt-4o,12,0,9,3,0.125,-0.4333333333333333,-0.45833333333333337
gemini-3.5-flash,gpt-5,12,0,6,6,0.25,-0.4083333333333334,-0.25
gpt-4.1,claude-sonnet-4-5,12,7,2,3,0.7083333333333334,0.1593813131313131,0.1287878787878788
gpt-4.1,gemini-3.5-flash,12,10,0,2,0.9166666666666666,0.4645833333333334,0.4
gpt-4.1,gpt-4o,12,7,3,2,0.6666666666666666,0.03124999999999999,0.049999999999999975
gpt-4.1,gpt-5,12,5,0,7,0.7083333333333334,0.056249999999999994,0.0
gpt-4o,claude-sonnet-4-5,12,9,2,1,0.7916666666666666,0.12813131313131315,0.09000000000000005
gpt-4o,gemini-3.5-flash,12,9,0,3,0.875,0.4333333333333333,0.45833333333333337
gpt-4o,gpt-4.1,12,3,7,2,0.3333333333333333,-0.03124999999999999,-0.049999999999999975
gpt-4o,gpt-5,12,4,4,4,0.5,0.02500000000000002,0.0
gpt-5,claude-sonnet-4-5,12,6,4,2,0.5833333333333334,0.10313131313131312,0.07500000000000001
gpt-5,gemini-3.5-flash,12,6,0,6,0.75,0.4083333333333334,0.25
gpt-5,gpt-4.1,12,0,5,7,0.2916666666666667,-0.056249999999999994,0.0
gpt-5,gpt-4o,12,4,4,4,0.5,-0.02500000000000002,0.0
